match_id,team_x,team_y,team_x_score,team_y_score,score_difference,team_x_won,total_windows,team_x_momentum_wins,team_x_change_wins,team_x_relative_wins,team_x_momentum_rate,team_x_change_rate,team_x_relative_rate,perspective
3938645,Ukraine,Belgium,0,0,0,0,90,34,38,39,0.37777777777777777,0.4222222222222222,0.43333333333333335,team_x_home
3938645,Belgium,Ukraine,0,0,0,0,90,56,52,51,0.6222222222222222,0.5777777777777777,0.5666666666666667,team_x_away
3940878,Switzerland,Italy,2,0,2,1,88,47,40,40,0.5340909090909091,0.45454545454545453,0.45454545454545453,team_x_home
3940878,Italy,Switzerland,0,2,-2,0,88,41,48,48,0.4659090909090909,0.5454545454545454,0.5454545454545454,team_x_away
3940983,Denmark,Germany,2,0,2,1,91,37,41,40,0.4065934065934066,0.45054945054945056,0.43956043956043955,team_x_home
3940983,Germany,Denmark,0,2,-2,0,91,54,50,51,0.5934065934065934,0.5494505494505495,0.5604395604395604,team_x_away
3941017,Slovakia,England,2,1,1,1,117,44,57,58,0.37606837606837606,0.48717948717948717,0.49572649572649574,team_x_home
3941017,England,Slovakia,1,2,-1,0,117,73,60,59,0.6239316239316239,0.5128205128205128,0.5042735042735043,team_x_away
3941018,Georgia,Spain,4,1,3,1,89,1,43,44,0.011235955056179775,0.48314606741573035,0.4943820224719101,team_x_home
3941018,Spain,Georgia,1,4,-3,0,89,88,46,45,0.9887640449438202,0.5168539325842697,0.5056179775280899,team_x_away
3941019,Belgium,France,1,0,1,1,89,20,46,47,0.2247191011235955,0.5168539325842697,0.5280898876404494,team_x_home
3941019,France,Belgium,0,1,-1,0,89,69,43,42,0.7752808988764045,0.48314606741573035,0.47191011235955055,team_x_away
3941020,Slovenia,Portugal,0,0,0,0,120,19,55,55,0.15833333333333333,0.4583333333333333,0.4583333333333333,team_x_home
3941020,Portugal,Slovenia,0,0,0,0,120,101,65,65,0.8416666666666667,0.5416666666666666,0.5416666666666666,team_x_away
3941021,Netherlands,Romania,0,3,-3,0,90,67,41,39,0.7444444444444445,0.45555555555555555,0.43333333333333335,team_x_home
3941021,Romania,Netherlands,3,0,3,1,90,23,49,51,0.25555555555555554,0.5444444444444444,0.5666666666666667,team_x_away
3941022,Austria,Turkey,1,2,-1,0,91,62,50,49,0.6813186813186813,0.5494505494505495,0.5384615384615384,team_x_home
3941022,Turkey,Austria,2,1,1,1,91,29,41,42,0.31868131868131866,0.45054945054945056,0.46153846153846156,team_x_away
