match_id,team_name,opponent,team_type,team_score,opponent_score,goal_difference,win,draw,loss,total_windows,momentum_wins,change_wins,relative_wins,momentum_superiority,change_superiority,relative_superiority,momentum_superiority_vs_team_score_correlation,momentum_superiority_vs_team_score_p_value,momentum_superiority_vs_goal_difference_correlation,momentum_superiority_vs_goal_difference_p_value,momentum_superiority_vs_win_correlation,momentum_superiority_vs_win_p_value,change_superiority_vs_team_score_correlation,change_superiority_vs_team_score_p_value,change_superiority_vs_goal_difference_correlation,change_superiority_vs_goal_difference_p_value,change_superiority_vs_win_correlation,change_superiority_vs_win_p_value,relative_superiority_vs_team_score_correlation,relative_superiority_vs_team_score_p_value,relative_superiority_vs_goal_difference_correlation,relative_superiority_vs_goal_difference_p_value,relative_superiority_vs_win_correlation,relative_superiority_vs_win_p_value
3930163,Serbia,England,home,0,1,-1,0,0,1,90,44,49,47,0.4888888888888889,0.5444444444444444,0.5222222222222223,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930163,England,Serbia,away,1,0,1,1,0,0,90,46,41,43,0.5111111111111111,0.45555555555555555,0.4777777777777778,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930164,Slovakia,Belgium,home,0,1,-1,0,0,1,94,37,47,45,0.39361702127659576,0.5,0.4787234042553192,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930164,Belgium,Slovakia,away,1,0,1,1,0,0,94,57,47,49,0.6063829787234043,0.5,0.5212765957446809,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930165,Austria,France,home,0,1,-1,0,0,1,95,53,45,44,0.5578947368421052,0.47368421052631576,0.4631578947368421,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930165,France,Austria,away,1,0,1,1,0,0,95,42,50,51,0.4421052631578947,0.5263157894736842,0.5368421052631579,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930166,Portugal,Czech Republic,home,2,1,1,1,0,0,91,79,44,42,0.8681318681318682,0.4835164835164835,0.46153846153846156,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930166,Czech Republic,Portugal,away,1,2,-1,0,0,1,91,12,47,49,0.13186813186813187,0.5164835164835165,0.5384615384615384,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930167,Albania,Croatia,home,2,2,0,0,1,0,94,24,47,47,0.2553191489361702,0.5,0.5,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930167,Croatia,Albania,away,2,2,0,0,1,0,94,70,47,47,0.7446808510638298,0.5,0.5,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930168,Germany,Hungary,home,2,0,2,1,0,0,89,75,44,45,0.8426966292134831,0.4943820224719101,0.5056179775280899,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930168,Hungary,Germany,away,0,2,-2,0,0,1,89,14,45,44,0.15730337078651685,0.5056179775280899,0.4943820224719101,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
