event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Switzerland_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
25834,3942227,1,0,48,00:00:48.532,Pass,Jordan Pickford,England,England,12.4,30.8,,1.233025,Regular Play,Ezri Konsa Ngoyo,21.444813,Ground Pass,,-1.2283998,19.6,10.6,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Carry,Jordan Pickford,England,0.0,45.0,Ball Receipt*,Ezri Konsa Ngoyo,England,True,107.6,False,False,False
25835,3942227,1,0,49,00:00:49.765,Ball Receipt*,Ezri Konsa Ngoyo,England,England,19.6,10.6,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,2,0,4,2,0,0,Pass,Jordan Pickford,England,0.0,48.0,Carry,Ezri Konsa Ngoyo,England,True,100.4,False,False,False
25836,3942227,1,0,49,00:00:49.765,Carry,Ezri Konsa Ngoyo,England,England,19.6,10.6,,0.922869,Regular Play,,,,,,,,,,,,False,19.8,10.6,0.1999999999999993,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,2,0,4,2,0,0,Ball Receipt*,Ezri Konsa Ngoyo,England,0.0,49.0,Pass,Ezri Konsa Ngoyo,England,True,100.4,False,False,False
25837,3942227,1,0,50,00:00:50.688,Pass,Ezri Konsa Ngoyo,England,England,19.8,10.6,,1.099553,Regular Play,Jude Bellingham,16.140013,Ground Pass,,-0.28255495,35.3,6.1,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,2,0,4,2,0,0,Carry,Ezri Konsa Ngoyo,England,0.0,49.0,Ball Receipt*,Jude Bellingham,England,True,100.2,False,False,False
25838,3942227,1,0,51,00:00:51.787,Ball Receipt*,Jude Bellingham,England,England,35.3,6.1,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 20, 'name': 'Left Attacking Midfield'}",,0,0,0,2,2,0,4,2,2,0,Pass,Ezri Konsa Ngoyo,England,0.0,50.0,Carry,Jude Bellingham,England,True,84.7,False,False,False
25839,3942227,1,0,51,00:00:51.787,Carry,Jude Bellingham,England,England,35.3,6.1,True,1.496086,Regular Play,,,,,,,,,,,,False,32.4,5.5,2.9614185789921676,,False,,"{'id': 20, 'name': 'Left Attacking Midfield'}",,0,0,0,2,2,0,4,2,2,0,Ball Receipt*,Jude Bellingham,England,0.0,51.0,Pressure,Dan Ndoye,Switzerland,False,84.7,False,False,False
25840,3942227,1,0,52,00:00:52.777,Pressure,Dan Ndoye,Switzerland,England,82.4,73.8,,0.556319,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 7, 'name': 'Right Wing Back'}",,0,0,0,2,2,0,7,3,1,0,Carry,Jude Bellingham,England,0.0,51.0,Pass,Jude Bellingham,England,False,37.599999999999994,False,False,False
25841,3942227,1,0,53,00:00:53.283,Pass,Jude Bellingham,England,England,32.4,5.5,True,1.449824,Regular Play,Ezri Konsa Ngoyo,15.065855,Ground Pass,,-2.920764,17.7,2.2,,,,,False,,,,,False,,"{'id': 20, 'name': 'Left Attacking Midfield'}",,0,0,0,2,2,0,4,2,2,0,Pressure,Dan Ndoye,Switzerland,0.0,52.0,Ball Receipt*,Ezri Konsa Ngoyo,England,True,87.6,False,False,True
25842,3942227,1,0,54,00:00:54.733,Ball Receipt*,Ezri Konsa Ngoyo,England,England,17.7,2.2,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,2,0,4,2,0,0,Pass,Jude Bellingham,England,0.0,53.0,Carry,Ezri Konsa Ngoyo,England,True,102.3,False,False,False
25843,3942227,1,0,54,00:00:54.733,Carry,Ezri Konsa Ngoyo,England,England,17.7,2.2,,0.620371,Regular Play,,,,,,,,,,,,False,17.7,2.2,0.0,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,2,0,4,2,0,0,Ball Receipt*,Ezri Konsa Ngoyo,England,0.0,54.0,Pass,Ezri Konsa Ngoyo,England,True,102.3,False,False,False
