event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Slovenia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
141247,3930181,1,0,24,00:00:24.936,Pressure,Petar Stojanović,Slovenia,England,66.1,67.3,,0.512181,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 12, 'name': 'Right Midfield'}",,0,0,0,0,2,0,2,2,0,0,Carry,Kieran Trippier,England,0.0,24.0,Pass,Kieran Trippier,England,False,53.900000000000006,False,False,False
141248,3930181,1,0,25,00:00:25.316,Pass,Kieran Trippier,England,England,51.7,13.9,True,1.164782,From Kick Off,Marc Guehi,19.820444,Ground Pass,,2.2597208,39.1,29.2,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,1,0,2,1,0,0,Pressure,Petar Stojanović,Slovenia,0.0,24.0,Ball Receipt*,Marc Guehi,England,True,68.3,False,False,True
141249,3930181,1,0,26,00:00:26.481,Ball Receipt*,Marc Guehi,England,England,39.1,29.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,0,2,1,0,0,Pass,Kieran Trippier,England,0.0,25.0,Carry,Marc Guehi,England,True,80.9,False,False,False
141250,3930181,1,0,26,00:00:26.481,Carry,Marc Guehi,England,England,39.1,29.2,,1.954009,From Kick Off,,,,,,,,,,,,False,42.5,32.2,4.534313619501854,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Marc Guehi,England,0.0,26.0,Pass,Marc Guehi,England,True,80.9,False,False,False
141251,3930181,1,0,28,00:00:28.435,Pass,Marc Guehi,England,England,42.5,32.2,,1.341969,From Kick Off,John Stones,21.40584,Ground Pass,,1.5474361,43.0,53.6,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,0,2,1,0,0,Carry,Marc Guehi,England,0.0,26.0,Ball Receipt*,John Stones,England,True,77.5,False,False,False
141252,3930181,1,0,29,00:00:29.777,Ball Receipt*,John Stones,England,England,43.0,53.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,0,2,1,0,0,Pass,Marc Guehi,England,0.0,28.0,Carry,John Stones,England,True,77.0,False,False,False
141253,3930181,1,0,29,00:00:29.777,Carry,John Stones,England,England,43.0,53.6,,2.955497,From Kick Off,,,,,,,,,,,,False,43.7,54.8,1.389244398944978,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,John Stones,England,0.0,29.0,Pass,John Stones,England,True,77.0,False,False,False
141254,3930181,1,0,32,00:00:32.733,Pass,John Stones,England,England,43.7,54.8,,1.264696,From Kick Off,Marc Guehi,21.799313,Ground Pass,,-1.7366991,40.1,33.3,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,1,0,2,1,0,0,Carry,John Stones,England,0.0,29.0,Ball Receipt*,Marc Guehi,England,True,76.3,False,False,False
141255,3930181,1,0,33,00:00:33.997,Ball Receipt*,Marc Guehi,England,England,40.1,33.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,0,2,1,0,0,Pass,John Stones,England,0.0,32.0,Carry,Marc Guehi,England,True,79.9,False,False,False
141256,3930181,1,0,33,00:00:33.997,Carry,Marc Guehi,England,England,40.1,33.3,,1.804389,From Kick Off,,,,,,,,,,,,False,41.1,30.7,2.785677655436822,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Marc Guehi,England,0.0,33.0,Pass,Marc Guehi,England,True,79.9,False,False,False
