match_id,home_team,away_team,match_date,stage,period,period_name,minute,second,team,player,card_type,event_type,event_uuid
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,84,17,"{'id': 912, 'name': 'Czech Republic'}","{'id': 39338, 'name': 'Lukáš Červ'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,84,43,"{'id': 909, 'name': 'Turkey'}","{'id': 133305, 'name': 'Samet Akaydin'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",ddd7cd11-e583-4d84-b7bd-37dcc3f615fd
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,90,5,"{'id': 912, 'name': 'Czech Republic'}","{'id': 28272, 'name': 'Ladislav Krejčí'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",caa93f22-7f84-4320-8660-908d159e507f
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,95,15,"{'id': 909, 'name': 'Turkey'}","{'id': 12293, 'name': 'Kaan Ayhan'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,95,17,"{'id': 909, 'name': 'Turkey'}","{'id': 22212, 'name': 'Orkun Kökçü'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,97,38,"{'id': 912, 'name': 'Czech Republic'}","{'id': 21226, 'name': 'Tomáš Chorý'}",Red Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,97,38,"{'id': 912, 'name': 'Czech Republic'}","{'id': 4870, 'name': 'Tomáš Souček'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,97,40,"{'id': 909, 'name': 'Turkey'}","{'id': 116587, 'name': 'Arda Güler'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3941022,Austria,Turkey,2024-07-02,Round of 16,1,Period 1,10,14,"{'id': 909, 'name': 'Turkey'}","{'id': 22212, 'name': 'Orkun Kökçü'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",9a185f58-daf6-45fe-9ed2-96677bc568c4
3941022,Austria,Turkey,2024-07-02,Round of 16,1,Period 1,37,36,"{'id': 915, 'name': 'Austria'}","{'id': 8784, 'name': 'Romano Schmid'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3941022,Austria,Turkey,2024-07-02,Round of 16,1,Period 1,41,19,"{'id': 909, 'name': 'Turkey'}","{'id': 78241, 'name': 'İsmail Yüksek'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",1bcb877b-434b-47c1-854e-ca949fb183b7
