game_id,team,prediction,actual,predicted_direction,actual_direction,direction_match
3930161,Albania,-0.4384673957331113,-0.556,negative,negative,1
3930161,Albania,-0.3310456258503453,0.0140000000000002,negative,positive,0
3930162,Slovenia,0.4924152417045571,0.5700000000000003,positive,positive,1
3930162,Slovenia,-0.1357260954474846,-0.439,negative,negative,1
3930162,Slovenia,-0.3455689896542893,-0.3109999999999999,negative,negative,1
3930162,Slovenia,-0.4172972706762934,-1.6400000000000006,negative,negative,1
3930162,Slovenia,0.3027581848704885,-0.899,positive,negative,0
3930162,Slovenia,-0.0445977264395445,-1.0300000000000002,negative,negative,1
3930162,Slovenia,1.6333901408930735,0.7810000000000006,positive,positive,1
3930162,Slovenia,1.4080539300419463,1.0279999999999996,positive,positive,1
3930162,Slovenia,1.244715965730235,1.0380000000000005,positive,positive,1
3930162,Slovenia,0.5798787704318489,-0.0300000000000002,positive,negative,0
3930162,Slovenia,0.041951759006114,-0.4929999999999994,positive,negative,0
3930162,Slovenia,-0.1278073384652582,-0.8150000000000004,negative,negative,1
3930162,Slovenia,0.6004743050463883,-0.3019999999999996,positive,negative,0
3930162,Slovenia,0.6682818642923509,-0.2549999999999999,positive,negative,0
3930162,Slovenia,0.92013560615219,0.1800000000000006,positive,positive,1
3930162,Denmark,0.1789433845058603,0.5830000000000002,positive,positive,1
3930162,Denmark,0.3688375826816923,1.0850000000000009,positive,positive,1
3930162,Denmark,0.0586021496021107,0.9770000000000004,positive,positive,1
3930162,Denmark,-0.4266868343809893,0.2969999999999997,negative,positive,0
3930162,Denmark,-0.8255515805462155,-0.064,negative,negative,1
3930162,Denmark,-1.0186666609928938,0.173,negative,positive,0
3930162,Denmark,-0.7250052201414059,0.4779999999999997,negative,positive,0
3930162,Denmark,-0.7126021141577521,0.6689999999999996,negative,positive,0
3930162,Denmark,-1.184576045846823,-0.9640000000000004,negative,negative,1
3930162,Denmark,-1.2476811485976782,-1.2119999999999995,negative,negative,1
3930162,Denmark,-1.459769814694016,-0.899,negative,negative,1
3930162,Denmark,-0.0484481725387553,0.5250000000000004,negative,positive,0
3930162,Denmark,0.172064226866655,1.085,positive,positive,1
3930162,Denmark,-0.4041624363644951,0.5759999999999996,negative,positive,0
3930162,Denmark,-0.6402053587161776,0.1859999999999999,negative,positive,0
3930163,Serbia,-0.0210793427405082,-0.5280000000000005,negative,negative,1
3930163,Serbia,-0.0925237360058321,-0.0060000000000002,negative,negative,1
3930163,Serbia,-0.1219416089600118,-0.1349999999999998,negative,negative,1
3930163,Serbia,0.5799567456805113,0.3580000000000005,positive,positive,1
3930163,Serbia,-0.0797082510471272,-0.9369999999999994,negative,negative,1
3930163,Serbia,0.0322630568050756,-0.9480000000000004,positive,negative,0
3930163,Serbia,0.1651157853839917,-0.1160000000000005,positive,negative,0
3930163,Serbia,1.0087529304642509,0.867,positive,positive,1
3930163,Serbia,1.134352946571676,1.229,positive,positive,1
3930163,Serbia,0.2998147084750204,0.4330000000000007,positive,positive,1
3930163,Serbia,0.0011299244105895,0.4119999999999999,positive,positive,1
3930163,Serbia,-0.2940917825687759,-0.867,negative,negative,1
3930163,Serbia,-0.2034319852438884,0.1639999999999997,negative,positive,0
3930163,Serbia,-0.4777271074656539,-0.1500000000000003,negative,negative,1
3930163,Serbia,0.7135908314220742,0.9850000000000004,positive,positive,1
3930163,England,0.2185020979342251,0.1690000000000004,positive,positive,1
3930163,England,-0.2321886244307922,-0.9009999999999998,negative,negative,1
3930163,England,0.0176799498777713,-0.3279999999999994,positive,negative,0
3930163,England,-0.0015380211665148,-0.6270000000000007,negative,negative,1
3930163,England,0.9567568809344388,0.7770000000000001,positive,positive,1
3930163,England,0.4510136757168093,0.3569999999999993,positive,positive,1
3930163,England,0.825383191461154,0.7190000000000003,positive,positive,1
3930163,England,-0.0665672023797077,-0.2110000000000003,negative,negative,1
3930163,England,-0.0190644225548357,-0.3489999999999993,negative,negative,1
3930163,England,-0.1217973524466922,-0.1589999999999998,negative,negative,1
3930163,England,0.211598466209498,0.4779999999999997,positive,positive,1
3930163,England,0.4408895732671531,0.7609999999999992,positive,positive,1
3930163,England,0.0877705290964057,0.6529999999999996,positive,positive,1
3930163,England,-0.418200822078103,-0.2809999999999997,negative,negative,1
3930163,England,-0.5618198136873103,-0.5359999999999996,negative,negative,1
3930164,Belgium,0.345732195669596,0.2679999999999998,positive,positive,1
3930164,Belgium,0.1329411178445099,-0.298,positive,negative,0
3930164,Belgium,-0.1482788833080466,-1.1629999999999994,negative,negative,1
3930164,Belgium,-0.0189764088572204,-0.7050000000000001,negative,negative,1
3930164,Belgium,0.5346887243296656,-0.1340000000000003,positive,negative,0
3930164,Belgium,1.4069050601045363,0.4899999999999993,positive,positive,1
3930164,Belgium,0.9252829035322784,-0.3179999999999996,positive,negative,0
3930164,Belgium,0.7137120336398812,-0.476,positive,negative,0
3930164,Belgium,0.7512362926098408,-5.887,positive,negative,0
3930164,Belgium,1.3508246853400632,0.4710000000000001,positive,positive,1
3930164,Belgium,1.3508359643161114,0.3609999999999997,positive,positive,1
3930164,Belgium,8.630492375323561,5.692,positive,positive,1
3930164,Belgium,0.720437720549163,-0.3170000000000001,positive,negative,0
3930164,Belgium,0.867662564867679,-0.3259999999999996,positive,negative,0
3930164,Belgium,1.0122124443298022,0.3029999999999999,positive,positive,1
3930164,Slovakia,-0.8816651975013414,-1.7279999999999998,negative,negative,1
3930164,Slovakia,-0.5052563059925408,-0.8490000000000002,negative,negative,1
3930164,Slovakia,0.2974266685071889,-0.1109999999999997,positive,negative,0
3930164,Slovakia,1.4044200832091898,0.8840000000000003,positive,positive,1
3930164,Slovakia,0.6177654617564485,0.1539999999999999,positive,positive,1
3930164,Slovakia,0.4449194634992306,-0.6080000000000005,positive,negative,0
3930164,Slovakia,0.2376817248100549,-0.8390000000000004,positive,negative,0
