Feature,Missing_Count,Missing_Pct,Non_Null_Count,Field_Path,Classification,Data_Types,Unique_Count,Sample_Values,Nested_Fields
interception,187045,99.56722630923358,813,outcome,Small Categorical - 0 categories: [],['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
interception,187045,99.56722630923358,813,outcome.id,ID Field - categorical identifier (4 unique IDs),['int'],4,"['13', '14', '4', '16']",
interception,187045,99.56722630923358,813,outcome.name,"Name Field - categorical labels (4 categories: ['Lost Out', 'Lost In Play', 'Success In Play', 'Won'])",['str'],4,"['Lost Out', 'Lost In Play', 'Success In Play', 'Won']",
duel,184799,98.37164241075706,3059,type,Coordinate Value - single position value,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
duel,184799,98.37164241075706,3059,type.id,Coordinate Value - single position value,['int'],2,"['11', '10']",
duel,184799,98.37164241075706,3059,type.name,Coordinate Value - single position value,['str'],2,"['Aerial Lost', 'Tackle']",
duel,184799,98.37164241075706,3059,outcome,Small Categorical - 0 categories: [],['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
duel,184799,98.37164241075706,3059,outcome.id,ID Field - categorical identifier (4 unique IDs),['int'],4,"['13', '14', '4', '16']",
duel,184799,98.37164241075706,3059,outcome.name,"Name Field - categorical labels (4 categories: ['Lost Out', 'Won', 'Success In Play', 'Lost In Play'])",['str'],4,"['Lost Out', 'Won', 'Success In Play', 'Lost In Play']",
block,187758,99.94676830371877,100,save_block,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
block,187758,99.94676830371877,100,deflection,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
block,187758,99.94676830371877,100,offensive,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
foul_committed,187432,99.77323297384194,426,advantage,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
foul_committed,187432,99.77323297384194,426,penalty,Coordinate Value - single position value,['bool'],1,['True'],
foul_committed,187432,99.77323297384194,426,card,Small Categorical - 0 categories: [],['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
foul_committed,187432,99.77323297384194,426,card.id,ID Field - categorical identifier (1 unique IDs),['int'],1,['7'],
foul_committed,187432,99.77323297384194,426,card.name,Name Field - categorical labels (1 categories: ['Yellow Card']),['str'],1,['Yellow Card'],
foul_committed,187432,99.77323297384194,426,offensive,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
foul_committed,187432,99.77323297384194,426,type,Coordinate Value - single position value,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
foul_committed,187432,99.77323297384194,426,type.id,Coordinate Value - single position value,['int'],2,"['24', '21']",
foul_committed,187432,99.77323297384194,426,type.name,Coordinate Value - single position value,['str'],2,"['Handball', 'Dangerous Play']",
foul_won,187315,99.7109518891929,543,advantage,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
foul_won,187315,99.7109518891929,543,penalty,Coordinate Value - single position value,['bool'],1,['True'],
foul_won,187315,99.7109518891929,543,defensive,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
ball_receipt,181582,96.65917874138977,6276,outcome,Small Categorical - 0 categories: [],['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
ball_receipt,181582,96.65917874138977,6276,outcome.id,ID Field - categorical identifier (1 unique IDs),['int'],1,['9'],
ball_receipt,181582,96.65917874138977,6276,outcome.name,Name Field - categorical labels (1 categories: ['Incomplete']),['str'],1,['Incomplete'],
substitution,187391,99.75140797836663,467,outcome,Small Categorical - 0 categories: [],['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
substitution,187391,99.75140797836663,467,outcome.id,ID Field - categorical identifier (2 unique IDs),['int'],2,"['102', '103']",
substitution,187391,99.75140797836663,467,outcome.name,"Name Field - categorical labels (2 categories: ['Injury', 'Tactical'])",['str'],2,"['Injury', 'Tactical']",
substitution,187391,99.75140797836663,467,replacement,Small Categorical - 0 categories: [],['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
substitution,187391,99.75140797836663,467,replacement.id,ID Field - categorical identifier (40 unique IDs),['int'],40,40 unique values,
substitution,187391,99.75140797836663,467,replacement.name,"Name Field - categorical labels (40 categories: ['Georginio Wijnaldum', 'Cole Palmer', 'Francisco Fernandes Conceição', 'Ousmane Dembélé', 'Joshua Zirkzee'])",['str'],40,40 unique values,
