match_id,team_a,team_b,stage,period,period_name,period_result,period_winner,consecutive_ratio,possessions_ratio,turnovers_ratio,consecutive_reflects,possessions_reflects,turnovers_reflects,team_a_consecutive,team_b_consecutive,team_a_possessions,team_b_possessions,team_a_turnovers,team_b_turnovers,match_date
3938638,Romania,Ukraine,Group Stage,2,Second Half,3-0 (A),Team A,0.4861407249466951,1.0789473684210527,1.0333333333333334,False,True,False,6.0,12.342105263157896,82,76,31,30,2024-06-17
3930183,Slovakia,Romania,Group Stage,1,First Half,1-1 (D),Draw,1.106396153565965,0.9866666666666667,1.0,False,True,True,10.945945945945946,9.893333333333333,74,75,29,29,2024-06-26
3930183,Slovakia,Romania,Group Stage,2,Second Half,1-1 (D),Draw,1.5845198784836878,0.8589743589743589,1.0416666666666667,False,False,True,11.477611940298507,7.243589743589744,67,78,25,24,2024-06-26
3930181,England,Slovenia,Group Stage,1,First Half,0-0 (D),Draw,2.0143419281350314,0.9354838709677419,1.0,False,True,True,21.637931034482758,10.741935483870968,58,62,22,22,2024-06-25
3930181,England,Slovenia,Group Stage,2,Second Half,0-0 (D),Draw,2.8775932203389827,0.8805970149253731,1.0434782608695652,False,False,True,21.47457627118644,7.462686567164179,59,67,24,23,2024-06-25
3930178,Croatia,Italy,Group Stage,1,First Half,0-0 (D),Draw,1.2697308394160585,1.0158730158730158,1.05,False,True,True,19.328125,15.222222222222221,64,63,21,20,2024-06-24
3930178,Croatia,Italy,Group Stage,2,Second Half,1-1 (D),Draw,0.6219724042088545,1.028169014084507,0.95,False,True,True,9.67123287671233,15.549295774647888,73,71,19,20,2024-06-24
3930176,Switzerland,Germany,Group Stage,1,First Half,1-0 (A),Team A,0.4814449642325201,1.0735294117647058,1.0,False,True,False,9.246575342465754,19.205882352941178,73,68,24,24,2024-06-23
3930176,Switzerland,Germany,Group Stage,2,Second Half,1-1 (D),Draw,0.6857658470561695,1.0263157894736843,1.0,False,True,True,9.23076923076923,13.460526315789474,78,76,27,27,2024-06-23
3930175,Belgium,Romania,Group Stage,1,First Half,1-0 (A),Team A,1.6782051282051282,1.0129870129870129,1.0,True,True,False,13.73076923076923,8.181818181818182,78,77,25,25,2024-06-22
3930175,Belgium,Romania,Group Stage,2,Second Half,2-0 (A),Team A,0.7760663507109005,1.0,1.0,False,False,False,7.528735632183908,9.701149425287356,87,87,28,28,2024-06-22
3930174,Turkey,Portugal,Group Stage,1,First Half,0-1 (B),Team B,0.7297804596582456,0.9861111111111112,1.0416666666666667,True,True,True,10.267605633802816,14.069444444444445,71,72,25,24,2024-06-22
3930174,Turkey,Portugal,Group Stage,2,Second Half,0-3 (B),Team B,0.9644689993861264,0.9146341463414634,0.9655172413793104,True,True,False,12.773333333333333,13.24390243902439,75,82,28,29,2024-06-22
3930170,Slovenia,Serbia,Group Stage,1,First Half,0-0 (D),Draw,0.8672760996290408,1.0422535211267605,1.0,False,True,True,12.45945945945946,14.366197183098592,74,71,24,24,2024-06-20
3930170,Slovenia,Serbia,Group Stage,2,Second Half,1-1 (D),Draw,0.5488732806555457,1.096774193548387,1.0,False,True,True,8.897058823529411,16.20967741935484,68,62,20,20,2024-06-20
3930169,Scotland,Switzerland,Group Stage,1,First Half,1-1 (D),Draw,0.9139968694803049,1.064102564102564,1.0333333333333334,True,True,True,9.831325301204819,10.756410256410257,83,78,31,30,2024-06-19
3930169,Scotland,Switzerland,Group Stage,2,Second Half,1-1 (D),Draw,0.8777117293786002,0.9647058823529412,0.9615384615384616,False,True,True,8.21951219512195,9.364705882352942,82,85,25,26,2024-06-19
3930166,Portugal,Czech Republic,Group Stage,1,First Half,0-0 (D),Draw,2.3445945945945947,1.0,1.0384615384615385,False,True,True,20.41176470588235,8.705882352941176,68,68,27,26,2024-06-18
3930166,Portugal,Czech Republic,Group Stage,2,Second Half,2-1 (A),Team A,2.0088860453543758,1.051948051948052,1.0,True,True,False,13.592592592592593,6.766233766233766,81,77,23,23,2024-06-18
3930163,Serbia,England,Group Stage,1,First Half,0-1 (B),Team B,0.8555802743789395,0.9666666666666667,1.0,True,True,False,15.913793103448276,18.6,58,60,23,23,2024-06-16
3930163,Serbia,England,Group Stage,2,Second Half,0-1 (B),Team B,1.007496251874063,0.9583333333333334,1.0434782608695652,False,True,True,13.391304347826088,13.291666666666666,69,72,24,23,2024-06-16
3930162,Slovenia,Denmark,Group Stage,1,First Half,0-1 (B),Team B,0.5354405000589691,1.0166666666666666,1.05,True,False,True,11.163934426229508,20.85,61,60,21,20,2024-06-16
3930162,Slovenia,Denmark,Group Stage,2,Second Half,1-1 (D),Draw,0.6461377870563675,1.0,1.0,False,True,True,8.364864864864865,12.945945945945946,74,74,23,23,2024-06-16
3930160,Spain,Croatia,Group Stage,1,First Half,3-0 (A),Team A,0.788362866966411,1.0555555555555556,1.0416666666666667,False,True,False,10.894736842105264,13.819444444444445,76,72,25,24,2024-06-15
3930160,Spain,Croatia,Group Stage,2,Second Half,3-0 (A),Team A,0.9550785831574009,0.9882352941176471,0.9705882352941176,False,False,True,11.404761904761905,11.941176470588236,84,85,33,34,2024-06-15
3930159,Hungary,Switzerland,Group Stage,1,First Half,0-2 (B),Team B,0.6979030144167758,0.9859154929577465,1.0416666666666667,True,True,True,9.642857142857142,13.816901408450704,70,71,25,24,2024-06-15
3930159,Hungary,Switzerland,Group Stage,2,Second Half,1-3 (B),Team B,1.1977949395386647,1.04,0.9583333333333334,False,False,False,12.08974358974359,10.093333333333334,78,75,23,24,2024-06-15
3930158,Germany,Scotland,Group Stage,1,First Half,3-0 (A),Team A,1.9841282917318834,0.953125,1.05,True,False,False,18.508196721311474,9.328125,61,64,21,20,2024-06-14
3930158,Germany,Scotland,Group Stage,2,Second Half,5-1 (A),Team A,3.0496556723450525,0.8857142857142857,1.0,True,False,False,19.387096774193548,6.357142857142857,62,70,25,25,2024-06-14
