match_id,team_a,team_b,team_a_score,team_b_score,score_difference,winning_team,score_outcome,stage,fh_team_a_events,fh_team_b_events,fh_ratio,fh_reflects_score,sh_team_a_events,sh_team_b_events,sh_ratio,sh_reflects_score,total_team_a_events,total_team_b_events,total_ratio,total_reflects_score,match_date
3930183,Slovakia,Romania,1,1,0,Draw,Draw (1-1),Group Stage,810,742,1.091644204851752,YES - Balanced events for draw,769,565,1.3610619469026548,NO - Events don't match result,1579,1307,1.2081101759755164,NO - Events don't match result,2024-06-26
3930181,England,Slovenia,0,0,0,Draw,Draw (0-0),Group Stage,1255,666,1.8843843843843844,NO - Events don't match result,1267,500,2.534,NO - Events don't match result,2522,1166,2.16295025728988,NO - Events don't match result,2024-06-25
3930178,Croatia,Italy,1,1,0,Draw,Draw (1-1),Group Stage,1237,959,1.2898852971845673,NO - Events don't match result,706,1104,0.6394927536231884,NO - Events don't match result,1943,2063,0.941832283082889,YES - Balanced events for draw,2024-06-24
3930176,Switzerland,Germany,1,1,0,Draw,Draw (1-1),Group Stage,675,1306,0.5168453292496171,NO - Events don't match result,720,1023,0.7038123167155426,NO - Events don't match result,1395,2329,0.5989695148132246,NO - Events don't match result,2024-06-23
3930175,Belgium,Romania,2,0,2,Belgium,Team A Won (2-0),Group Stage,1071,630,1.7,YES - Team A had more events and won,655,844,0.7760663507109005,NO - Events don't match result,1726,1474,1.1709633649932158,YES - Team A had more events and won,2024-06-22
3930174,Turkey,Portugal,0,3,3,Portugal,Team B Won (0-3),Group Stage,729,1013,0.71964461994077,YES - Team B had more events and won,958,1086,0.8821362799263351,YES - Team B had more events and won,1687,2099,0.8037160552644116,YES - Team B had more events and won,2024-06-22
3930170,Slovenia,Serbia,1,1,0,Draw,Draw (1-1),Group Stage,922,1020,0.903921568627451,YES - Balanced events for draw,605,1005,0.6019900497512438,NO - Events don't match result,1527,2025,0.7540740740740741,NO - Events don't match result,2024-06-20
3930169,Scotland,Switzerland,1,1,0,Draw,Draw (1-1),Group Stage,816,839,0.9725864123957092,YES - Balanced events for draw,674,796,0.8467336683417085,YES - Balanced events for draw,1490,1635,0.9113149847094801,YES - Balanced events for draw,2024-06-19
3930166,Portugal,Czech Republic,2,1,1,Portugal,Team A Won (2-1),Group Stage,1388,592,2.3445945945945947,YES - Team A had more events and won,1101,521,2.113243761996161,YES - Team A had more events and won,2489,1113,2.2362982929020663,YES - Team A had more events and won,2024-06-18
3930163,Serbia,England,0,1,1,England,Team B Won (0-1),Group Stage,923,1116,0.8270609318996416,YES - Team B had more events and won,924,957,0.9655172413793104,YES - Team B had more events and won,1847,2073,0.8909792571152918,YES - Team B had more events and won,2024-06-16
3930162,Slovenia,Denmark,1,1,0,Draw,Draw (1-1),Group Stage,681,1251,0.5443645083932853,NO - Events don't match result,619,958,0.6461377870563675,NO - Events don't match result,1300,2209,0.5885015844273427,NO - Events don't match result,2024-06-16
3930160,Spain,Croatia,3,0,3,Spain,Team A Won (3-0),Group Stage,828,995,0.8321608040201005,NO - Events don't match result,958,1015,0.9438423645320198,NO - Events don't match result,1786,2010,0.8885572139303483,NO - Events don't match result,2024-06-15
3930159,Hungary,Switzerland,1,3,2,Switzerland,Team B Won (1-3),Group Stage,675,981,0.6880733944954128,YES - Team B had more events and won,943,757,1.2457067371202113,NO - Events don't match result,1618,1738,0.9309551208285386,YES - Team B had more events and won,2024-06-15
3930158,Germany,Scotland,5,1,4,Germany,Team A Won (5-1),Group Stage,1129,597,1.8911222780569514,YES - Team A had more events and won,1202,445,2.701123595505618,YES - Team A had more events and won,2331,1042,2.2370441458733206,YES - Team A had more events and won,2024-06-14
