match_id,team,opponent,stage,period,avg_consecutive_events,max_consecutive_events,total_possessions,turnovers,turnover_rate,match_date
3940878,Italy,Switzerland,Round of 16,1,11.909090909090908,74,66,21,0.3181818181818182,2024-06-29
3940878,Switzerland,Italy,Round of 16,2,12.5,94,70,24,0.34285714285714286,2024-06-29
3940878,Italy,Switzerland,Round of 16,2,15.859154929577464,76,71,25,0.352112676056338,2024-06-29
3930177,Scotland,Hungary,Group Stage,1,14.716417910447761,140,67,22,0.3283582089552239,2024-06-23
3930177,Hungary,Scotland,Group Stage,1,10.3,69,70,21,0.3,2024-06-23
3930177,Scotland,Hungary,Group Stage,2,9.953488372093023,63,86,30,0.3488372093023256,2024-06-23
3930177,Hungary,Scotland,Group Stage,2,9.459770114942529,50,87,31,0.3563218390804598,2024-06-23
3930173,Netherlands,France,Group Stage,1,11.6,66,65,20,0.3076923076923077,2024-06-21
3930173,France,Netherlands,Group Stage,1,17.90625,109,64,19,0.296875,2024-06-21
3930173,Netherlands,France,Group Stage,2,12.035714285714286,102,56,16,0.2857142857142857,2024-06-21
3930173,France,Netherlands,Group Stage,2,21.705882352941178,128,51,17,0.3333333333333333,2024-06-21
3930172,Spain,Italy,Group Stage,1,15.52,87,75,30,0.4,2024-06-20
3930172,Italy,Spain,Group Stage,1,10.333333333333334,43,81,29,0.35802469135802467,2024-06-20
3930172,Spain,Italy,Group Stage,2,15.246376811594203,106,69,25,0.36231884057971014,2024-06-20
3930172,Italy,Spain,Group Stage,2,12.902777777777779,81,72,25,0.3472222222222222,2024-06-20
3930167,Croatia,Albania,Group Stage,1,17.852941176470587,87,68,24,0.35294117647058826,2024-06-19
3930167,Albania,Croatia,Group Stage,1,9.391304347826088,61,69,24,0.34782608695652173,2024-06-19
3930167,Croatia,Albania,Group Stage,2,13.402439024390244,71,82,35,0.4268292682926829,2024-06-19
3930167,Albania,Croatia,Group Stage,2,8.351648351648352,38,91,35,0.38461538461538464,2024-06-19
3930168,Germany,Hungary,Group Stage,1,20.606060606060606,175,66,20,0.30303030303030304,2024-06-19
3930168,Hungary,Germany,Group Stage,1,8.742857142857142,53,70,20,0.2857142857142857,2024-06-19
3930168,Germany,Hungary,Group Stage,2,16.931506849315067,104,73,28,0.3835616438356164,2024-06-19
3930168,Hungary,Germany,Group Stage,2,8.727272727272727,49,77,28,0.36363636363636365,2024-06-19
3930165,Austria,France,Group Stage,1,10.686046511627907,77,86,29,0.3372093023255814,2024-06-17
3930165,France,Austria,Group Stage,1,11.404761904761905,75,84,29,0.34523809523809523,2024-06-17
3930165,Austria,France,Group Stage,2,13.128205128205128,73,78,26,0.3333333333333333,2024-06-17
3930165,France,Austria,Group Stage,2,10.61038961038961,68,77,26,0.33766233766233766,2024-06-17
3930164,Belgium,Slovakia,Group Stage,1,11.55,77,80,28,0.35,2024-06-17
3930164,Slovakia,Belgium,Group Stage,1,10.60759493670886,73,79,27,0.34177215189873417,2024-06-17
3930164,Belgium,Slovakia,Group Stage,2,13.728395061728396,69,81,29,0.35802469135802467,2024-06-17
3930164,Slovakia,Belgium,Group Stage,2,8.25925925925926,42,81,29,0.35802469135802467,2024-06-17
3930161,Italy,Albania,Group Stage,1,23.25862068965517,169,58,19,0.3275862068965517,2024-06-15
3930161,Albania,Italy,Group Stage,1,9.53225806451613,94,62,19,0.3064516129032258,2024-06-15
3930161,Italy,Albania,Group Stage,2,21.838709677419356,106,62,25,0.4032258064516129,2024-06-15
3930161,Albania,Italy,Group Stage,2,11.696969696969697,88,66,24,0.36363636363636365,2024-06-15
3938637,Poland,Netherlands,Group Stage,1,9.283582089552239,75,67,18,0.26865671641791045,2024-06-16
3938637,Netherlands,Poland,Group Stage,1,18.03174603174603,78,63,17,0.2698412698412698,2024-06-16
3938637,Poland,Netherlands,Group Stage,2,8.076923076923077,51,78,26,0.3333333333333333,2024-06-16
3938637,Netherlands,Poland,Group Stage,2,13.155844155844155,99,77,27,0.35064935064935066,2024-06-16
3938640,Slovakia,Ukraine,Group Stage,1,15.584615384615384,59,65,25,0.38461538461538464,2024-06-21
3938640,Ukraine,Slovakia,Group Stage,1,12.65625,88,64,24,0.375,2024-06-21
3938640,Slovakia,Ukraine,Group Stage,2,11.628205128205128,65,78,28,0.358974358974359,2024-06-21
3938640,Ukraine,Slovakia,Group Stage,2,9.2,66,85,28,0.32941176470588235,2024-06-21
3938642,Georgia,Czech Republic,Group Stage,1,10.03896103896104,94,77,23,0.2987012987012987,2024-06-22
3938642,Czech Republic,Georgia,Group Stage,1,11.026315789473685,86,76,22,0.2894736842105263,2024-06-22
3938642,Georgia,Czech Republic,Group Stage,2,6.920454545454546,39,88,33,0.375,2024-06-22
3938642,Czech Republic,Georgia,Group Stage,2,13.560975609756097,95,82,34,0.4146341463414634,2024-06-22
3938639,Turkey,Georgia,Group Stage,1,17.70769230769231,108,65,25,0.38461538461538464,2024-06-18
3938639,Georgia,Turkey,Group Stage,1,11.450704225352112,106,71,25,0.352112676056338,2024-06-18
3938639,Turkey,Georgia,Group Stage,2,11.91025641025641,91,78,28,0.358974358974359,2024-06-18
3938639,Georgia,Turkey,Group Stage,2,11.8,63,80,27,0.3375,2024-06-18
3938641,Poland,Austria,Group Stage,1,8.359550561797754,61,89,30,0.33707865168539325,2024-06-21
3938641,Austria,Poland,Group Stage,1,12.630952380952381,92,84,30,0.35714285714285715,2024-06-21
3938641,Poland,Austria,Group Stage,2,9.773809523809524,41,84,28,0.3333333333333333,2024-06-21
3938641,Austria,Poland,Group Stage,2,9.0,90,86,28,0.32558139534883723,2024-06-21
3938644,Georgia,Portugal,Group Stage,1,9.48611111111111,66,72,29,0.4027777777777778,2024-06-26
3938644,Portugal,Georgia,Group Stage,1,19.63768115942029,85,69,28,0.4057971014492754,2024-06-26
3938644,Georgia,Portugal,Group Stage,2,7.183098591549296,42,71,28,0.39436619718309857,2024-06-26
3938644,Portugal,Georgia,Group Stage,2,15.647887323943662,99,71,28,0.39436619718309857,2024-06-26
3938643,France,Poland,Group Stage,1,14.746666666666666,83,75,26,0.3466666666666667,2024-06-25
3938643,Poland,France,Group Stage,1,11.108108108108109,56,74,26,0.35135135135135137,2024-06-25
3938643,France,Poland,Group Stage,2,12.402597402597403,81,77,23,0.2987012987012987,2024-06-25
3938643,Poland,France,Group Stage,2,11.333333333333334,62,78,22,0.28205128205128205,2024-06-25
3938638,Romania,Ukraine,Group Stage,1,8.657142857142857,42,70,27,0.38571428571428573,2024-06-17
3938638,Ukraine,Romania,Group Stage,1,16.66176470588235,125,68,27,0.39705882352941174,2024-06-17
3938638,Romania,Ukraine,Group Stage,2,6.0,38,82,31,0.3780487804878049,2024-06-17
3938638,Ukraine,Romania,Group Stage,2,12.342105263157896,89,76,30,0.39473684210526316,2024-06-17
3930183,Slovakia,Romania,Group Stage,1,10.945945945945946,72,74,29,0.3918918918918919,2024-06-26
3930183,Romania,Slovakia,Group Stage,1,9.893333333333333,76,75,29,0.38666666666666666,2024-06-26
3930183,Slovakia,Romania,Group Stage,2,11.477611940298507,56,67,25,0.373134328358209,2024-06-26
3930183,Romania,Slovakia,Group Stage,2,7.243589743589744,43,78,24,0.3076923076923077,2024-06-26
3930181,England,Slovenia,Group Stage,1,21.637931034482758,127,58,22,0.3793103448275862,2024-06-25
3930181,Slovenia,England,Group Stage,1,10.741935483870968,115,62,22,0.3548387096774194,2024-06-25
3930181,England,Slovenia,Group Stage,2,21.47457627118644,120,59,24,0.4067796610169492,2024-06-25
3930181,Slovenia,England,Group Stage,2,7.462686567164179,57,67,23,0.34328358208955223,2024-06-25
3930178,Croatia,Italy,Group Stage,1,19.328125,194,64,21,0.328125,2024-06-24
3930178,Italy,Croatia,Group Stage,1,15.222222222222221,76,63,20,0.31746031746031744,2024-06-24
